*|FATURAMENTO POR MÉDIA|
000|LEITURA / FATURAMENTO NORMAL|
001|UC  SEM LEITURA|
002|SEM LEITURA|
003|SEM LEITURA|
004|LEITURA SMC / FATURAM. NORMAL|
005|TAXA MINIMA RES 414|
006|MEDIA ANTECIPAÇÃO PPU|
007|ASF-NÃO EFETUAR LEITURA|
008|VIRADO DE MEDIDOR FATURAR NORM|
009|PLACA LUMINOSA/SEMAFORO/CEMITERIO|
010|SUSPEITA DE FRAUDE NO MED ELETRONICO|
011|MED ELETRONICO C/DEFEITO|
013|MEDIA ART 113  - RES 414|
014|MEDIA ART 87 - RES414|
015|FATURAR CONSUMO MEDIDO|
016|FATURAR LEITURA CORTE|
017|FATURAR CONSUMO FINAL|
018|MED. DERRETENDO - SEM LEITURA|
019|MEDIDOR ELETRON. DESENERGIZADO|
020|UC FECHADA HABITADA|
021|UC FECHADA E DESABITADA|
022|UC NAO LOCALIZADA|
023|MEDIDOR OBSTRUIDO/LOCAL IMPROPRIO|
024|QUADRO DO MEDIDOR/VISOR FECHADO|
025|VISOR MAL POSICIONADO MEDIDOR INTERNO|
026|CX DE MEDIÇÃO SEM CONDIÇÃO DE LEITURA MEDIDOR INTE|
027|VISOR SUJO/EMBAÇADO MEDIDOR INTERNO|
028|UC DEMOLIDA|
029|CAO SOLTO|
030|CONSUMIDOR IMPEDIU A LEITURA|
031|MEDIDOR NÃO LOCALIZADO|
032|MEDIDOR Ñ ENCONTRADO EM UC C/FORNECIMENTO|
033|QUESTOES OPERACIONAIS|
034|FALTA DE ACESSO P/ALAGAMENTO/ENCHENTE|
035|INSETOS NO LOCAL DO MEDIDOR|
036|MEDIDOR DANIFICADO, DESCALIBRADO SEM LEITURA|
037|MED SUBMERSO SEM LEITURA|
038|FALTA DE ACESSO CALAMIDADE PÚB|
039|LEITURA TRIMESTRAL|
040|CONSUMO ACIMA DA MEDIA - FAIXA B|
041|DIFERENCA DE LEITURAS ENTRE 0 E -100|
042|CONSUMO ACIMA DA MEDIA - FAIXA C|
043|LEITURA EXCEDE A CAPACIDADE DO MEDIDOR|
044|DIFERENÇA LEITURA  ENTRE 0  E - 10|
045|MEDIDOR DA UC DIFERENTE DO INFORMADO|
046|AUSENCIA DE LEITURA E CODIGO DE OCORRENCIA|
047|CONS REATIVO ACIMA DA MÉDIA|
048|QUEDA DE CONSUMO|
049|TAXA MINIMA COM AVANCO|
050|FATURAR CONSUMO ACUMULADO|
051|CONSUMO AJUSTADO UM MES|
052|CONSUMO AJUSTADO A MES NEGATIVO|
053|CONSUMO AJUSTADO FICOU ACIMA DA MEDIA|
054|EM PROCESSO DE TROCA DE MEDIDO|
055|LEIT CONFIRMADA POR FOTO|
056|LEIT CONFIRMADA POR OS LEITURA|
057|LEIT CONFIRMADA POR OS CRITICA|
058|FAT.  NORMAL - ANALISE CRITICA|
059|CONSUMO SAZONAL - ANALISE CRIT|
060|LEIT SMC - FAT NORMAL CRITICA|
061|CONS AJUSTADO  - LEITURA BIMESTRAL|
062|CONS AJUSTADO AUTOMA  LEIT BIMESTRAL.|
063|VISOR SUJO/EMBAÇADO NO POSTE|
064|VISOR MAL POSICIONADO NO POSTE|
065|CX DE MEDIÇÃO SEM CONDIÇÃO DE LEITURA NO POSTE|
066|UC ANEXADA|
068|LEITURA NÃO CONFIRMADA CRÍTICA|
069|AREA DE RISCO|
070|MED. ELETRONICA LEIT NAO CONFIRMADA|
087|CONS AJUSTADO - ART 87|
200|CASA FECHADA P/REPESCAGEM|
213|CONS AJUSTADO - ART 113|
220|LEIT NAO CONFIRM. OS DE CRITICA - CONS. NORMAL|
221|LEIT NÃO CONFIRM. OS DE CRITICA - CONS. MEDIA|
223|LEIT ALTERADA P/ANALISE C/FOTO|
225|LEIT CONFIRMADA C/FOTO-COLETOR|
226|CONSUMO NORMAL SMILE|
400|MEDIDOR PARADO|
401|S.D.F|
402|MEDIDOR GIRANDO AO CONTRARIO|
403|CASA VIZINHA NAO CONSTA NA LISTA|
404|MEDIDOR DESCALIBRADO|
405|MEDIDOR EM LOCAL IMPROPRIO COM|
406|FORNECIMENTO A TERCEIROS|
407|CORRECAO DE FMM|
408|NUMERO MEDIDOR FABRICA NAO CONFERE|
409|NUMERO DE ALGARISMO DE MEDIDOR NAO CONFERE|
410|CORRIGIR  CLASSE|
411|CORRIGIR  FASES|
412|CORRIGIR  ENDERECO/ROTA DE LEITURA|
413|CORRIGIR NUMERO DE POSTE|
414|LEITURA FORNECIDA PELO CONSUMIDOR|
415|LEITURA CONFIRMADA|
416|CAIXA DE MEDIDOR DANIFICADA|
417|CONSUMO INCOMPATIVEL|
418|LAMPADA ACESA DURANTE O DIA|
419|LAMPADA QUEBRABA OU APAGADA|
420|U.C.  COM FRAUDE|
421|CLIENTE NAO BAIXA RENDA|
422|MEDIDOR INTERNO|
423|QUADRO DE MEDIÇÃO DE MADEIRA|
424|MEDIDOR COM   PONTEIRO|
425|QD MEDIÇÃO AGRUPADA DE MADEIRA|
426|RAMAL COLETIVO|
427|RAMAL DE LIGAÇÃO C/ EMENDAS|
428|CAIXA DE MEDIÇÃO SEM TAMPA|
429|FALTA  DISJUNTOR DE PROTECAO|
430|PONTALETE QUEBRADO|
431|CURVA  RAMAL DE LIGAÇÃO QUEBRADO|
432|LAMPADAS IP APAGADA CONF.  INFORMADO CLIENTE|
433|CONEXÃO SEM ISOLAMENTO|
434|RAMAL DE LIGAÇÃO DESENCAPADO|
435|UC COM/IND SEM SELO NO MED/QUA|
436|UC SEM SELO DE SEG. NA CAIXA|
437|CLIENTE COM IRRIGAÇÃO|
438|REDE BT DENTRO DA PROPRIEDADE|
439|CAIXA COM LENTE EM TOPO DO POSTE|
440|UC COM ATIVIDADE COMERCIAL|
441|IMOVEL DE ALTO PADRÃO|
442|CASA OU SITIO DE VERANEIO/CHACARA|
